Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
35485447,"The Monster Baru Cormorant (Baru Cormorant, #2)",Seth Dickinson,"Dickinson, Seth",,,,0,4.5,,Hardcover,720,2018,2018,,08/02/2018,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
23444482,"The Traitor Baru Cormorant (Baru Cormorant, #1)",Seth Dickinson,"Dickinson, Seth",,0765380722,9780765380722,5,4.04,Tor,Hardcover,399,2015,2015,08/02/2018,08/02/2018,,,read,,,,1,,,0,,,,,
13262783,"Every Day (Every Day, #1)",David Levithan,"Levithan, David",,0307931889,9780307931887,3,3.99,Knopf Books for Young Readers,Hardcover,322,2012,2012,07/02/2018,07/02/2018,,,read,,,,1,,,0,,,,,
28335696,"Persepolis Rising (The Expanse, #7)",James S.A. Corey,"Corey, James S.A.",,0316332828,9780316332828,5,4.36,Orbit Books,ebook,608,2017,2017,28/03/2017,28/03/2017,,,read,,,,1,,,0,,,,,
18136725,"Damnation (Theirs Not to Reason Why, #5)",Jean Johnson,"Johnson, Jean",,,,4,4.19,Ace,ebook,,2014,2014,04/01/2018,04/01/2018,,,read,,,,1,,,0,,,,,
21418011,"Hardship (Theirs Not to Reason Why, #4)",Jean Johnson,"Johnson, Jean",,,,3,4.16,Ace,Kindle Edition,320,2014,2014,30/12/2017,30/12/2017,,,read,,,,1,,,0,,,,,
15781698,"Hellfire (Theirs Not to Reason Why, #3)",Jean Johnson,"Johnson, Jean",,0425256502,9780425256503,3,4.1,Ace Books,Mass Market Paperback,480,2013,2013,30/12/2017,30/12/2017,,,read,,,,1,,,0,,,,,
12476223,"An Officer's Duty (Theirs Not to Reason Why, #2)",Jean Johnson,"Johnson, Jean",,,,4,4.13,Ace,Kindle Edition,448,2012,2012,25/12/2017,25/12/2017,,,read,,,,1,,,0,,,,,
10814635,"A Soldier's Duty (Theirs Not to Reason Why, #1)",Jean Johnson,"Johnson, Jean",,0441020631,9780441020638,4,3.99,Ace,Mass Market Paperback,432,2011,2011,25/12/2017,25/12/2017,,,read,,,,1,,,0,,,,,
102327,Armor,John Steakley,"Steakley, John",,0886773687,9780886773687,5,4.12,DAW,Mass Market Paperback,426,1984,1984,21/12/2017,21/12/2017,,,read,,,,1,,,0,,,,,
12269981,"A Rising Thunder (Honor Harrington, #13)",David Weber,"Weber, David",,145163806X,9781451638066,3,4.07,Baen,Hardcover,458,2012,2012,19/12/2017,19/12/2017,,,read,,,,1,,,0,,,,,
7106681,"Mission of Honor (Honor Harrington, #12)",David Weber,"Weber, David",,1439133611,9781439133613,4,4.19,Baen,Hardcover,600,2010,2010,16/12/2017,16/12/2017,,,read,,,,1,,,0,,,,,
77739,"Honor Among Enemies (Honor Harrington, #6)",David Weber,"Weber, David",,0671877836,9780671877835,3,4.24,Baen,Paperback,544,1997,1996,09/12/2017,09/12/2017,,,read,,,,1,,,0,,,,,
